Entity,count,mean,std,min,max
Austria,25,32.19271164,4.3875993779005285,24.120514,43.347355
Belgium,25,4.867146636399999,3.869354471720939,0.4183467,12.149441
Bulgaria,25,7.71079018,4.115301662405527,2.0436325,16.42459
Croatia,25,20.8879418,5.087588324012303,11.745396,29.586359
Cyprus,21,3.613752390647619,3.180190264468919,0.006551989,10.795388
Czechia,25,4.689758976,2.6209771083491,1.1732385,9.745923
Denmark,25,21.733004660000002,11.728385505417718,6.7593865,41.722164
Estonia,25,5.8125802632,5.5602531783615445,0.15419663,17.946262
Finland,25,24.2429988,7.006851373546407,14.247586,38.894417
France,25,9.273599476,3.3399506361612907,5.121812,16.46539
Germany,25,11.55758422,6.628415818838147,2.7381492,23.968008
Greece,25,9.716536807999999,6.143119991905363,2.1644914,21.05491
Hungary,25,4.2469863556,3.246004900660983,0.23765965,12.705954
Ireland,25,9.937369816,6.984989826266022,1.569639,22.180317
Italy,25,12.736750744,5.24705747464753,6.0595794,20.930578
Latvia,25,21.49446368,4.292512627241073,15.7831,31.776415
Lithuania,25,6.990530566,5.984621940781584,0.89630085,23.413942
Luxembourg,25,4.8351665864,4.043528303851184,0.8717486,14.278366
Netherlands,25,5.2556867039999995,4.92464346327241,0.8954775,18.119257
Poland,25,4.6384781572,3.5153073079802164,0.642295,13.04527
Portugal,25,22.154872268,8.451678443243845,7.7011347,39.74076
Romania,25,14.037099880000001,4.046206872993383,8.238626,20.908308
Slovakia,25,8.302849752,2.0650521333244916,4.4988313,11.295315
Slovenia,25,15.66828948,3.77826814223679,10.626739,24.735876
Spain,25,14.892573324,6.05885750291593,6.0164313,25.862646
Sweden,25,40.00894096,7.31039126684246,27.30538,52.458923
